name,place,location,latitude,longitude,year
Tengo algo que EnsayArte (2017) {STANISLAVSKI en 5 Minutos - Mitos y Curiosidades (#1.12)},"Brno, Czech Republic","Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko",49.1922443,16.6113382,2017
The Amazing Race Asia (2006) {Czech Republic (#2.9)},"Estates Theatre, Ovocný trh 1, Old Town, Prague, Czech Republic","Stavovské divadlo, 540/1, Ovocný trh, Staré Město, Hlavní město Praha, Praha, 11000, Česko",50.08596145,14.42363905460526,2006
The Amazing Race Asia (2006) {Czech Republic (#2.9)},"Plavecký Stadion Podolí, Podolská 74, Podoli, Prague, Czech Republic","Plavecký stadion Podolí, Podolská, Podolí, Hlavní město Praha, Praha, 14023, Česko",50.0513296,14.417329655187814,2006
The Amazing Race Asia (2006) {Czech Republic (#2.9)},"Prague Castle, Hradcany, Prague, Czech Republic","Pražský hrad, Hradčany, Hlavní město Praha, Praha, 11900, Česko",50.0904894,14.3995583,2006
The Amazing Race Asia (2006) {Czech Republic (#2.9)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2006
The Amazing Race Asia (2006) {Czech Republic (#2.9)},"Praha hlavni nadrazi, Wilsonova, Prague, Czech Republic","Praha hlavní nádraží, Wilsonova, Vinohrady, Hlavní město Praha, Praha, 10 000, Česko",50.0830349,14.436145,2006
The Amazing Race Asia (2006) {Czech Republic (#2.9)},"Statue of St. Wenceslas, Wenceslas Square, New Town, Prague, Czech Republic","Pomník svatého Václava, Václavské náměstí, Nové Město, Hlavní město Praha, Praha, 115 20, Česko",50.0797774,14.429727750000005,2006
The Amazing Race Asia (2006) {Czech Republic (#2.9)},"Strelecký Island, Old Town, Prague, Czech Republic","Střelecký ostrov, Staré Město, Hlavní město Praha, Praha, Česko",50.0812804,14.410030848853827,2006
The Amazing Race Asia (2006) {Hungary (#2.10)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2006
The Amazing Race Asia (2006) {Hungary (#2.10)},"Praha hlavni nadrazi, Wilsonova, Prague, Czech Republic","Praha hlavní nádraží, Wilsonova, Vinohrady, Hlavní město Praha, Praha, 10 000, Česko",50.0830349,14.436145,2006
"The Amazing Race Australia (2011) {It's Just Like Where's Wally (Prague, Czech Republic) (#1.7)}","Charles Bridge, Old Town, Prague, Czech Republic","Karlův most, Staré Město, Hlavní město Praha, Praha, 11665, Česko",50.0861632,14.413687,2011
"The Amazing Race Australia (2011) {It's Just Like Where's Wally (Prague, Czech Republic) (#1.7)}","Dancing House, Rasinovo nabrezi, New Town, Prague, Czech Republic","Tančící dům, Rašínovo nábřeží, Nové Město, Hlavní město Praha, Praha, 150 000, Česko",50.0754264,14.414171910983487,2011
"The Amazing Race Australia (2011) {It's Just Like Where's Wally (Prague, Czech Republic) (#1.7)}","Pilsner Urquell, Pilsen, Plzen, Czech Republic","Pilsner Urquell, Plzeň, okres Plzeň-město, Plzeňský kraj, Jihozápad, Česko",49.75124745,13.393805173155403,2011
"The Amazing Race Australia (2011) {It's Just Like Where's Wally (Prague, Czech Republic) (#1.7)}","Prague Castle, Hradcany, Prague, Czech Republic","Pražský hrad, Hradčany, Hlavní město Praha, Praha, 11900, Česko",50.0904894,14.3995583,2011
"The Amazing Race Australia (2011) {It's Just Like Where's Wally (Prague, Czech Republic) (#1.7)}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2011
"The Amazing Race Australia (2011) {It's Just Like Where's Wally (Prague, Czech Republic) (#1.7)}","Stvanice, Prague, Czech Republic","Štvanice, Holešovice, Hlavní město Praha, Praha, Česko",50.0956597,14.439266599839225,2011
The Amazing Race Australia (2011) {The Last Team Will Spend the Night in the Dungeon (Netherlands and Czech Republic) (#1.6)},"Repora, Prague, Czech Republic","středověká vesnice Řepora, Poncarova, Britská čtvrť, Stodůlky, Hlavní město Praha, Praha, 15500, Česko",50.04104135,14.306981090013597,2011
